"","P","Y","A"
"1",3,5,1
"2",3,5,1
"3",3,5,1
"4",3,5,0
"5",5,5,1
"6",2,5,0
"7",3,5,1
"8",4,5,1
"9",3,5,0
"10",3,5,1
"11",3,4,1
"12",4,4,1
"13",4,4,0
"14",3,4,0
"15",4,4,0
"16",4,5,1
"17",2,4,1
"18",4,5,1
"19",4,4,1
"20",5,4,0
"21",4,4,1
"22",3,5,0
"23",4,5,0
"24",5,5,0
"25",3,5,1
"26",2,3,1
"27",2,3,1
"28",1,4,0
"29",3,4,1
"30",3,5,1
"31",3,5,1
"32",5,4,1
"33",2,3,1
"34",4,5,1
"35",5,5,1
"36",3,5,1
"37",3,5,0
"38",1,4,0
"39",4,4,0
"40",3,4,0
"41",2,3,0
"42",2,2,0
"43",2,3,0
"44",3,3,0
"45",3,5,0
"46",4,4,0
"47",2,5,0
"48",2,3,0
"49",2,3,0
"50",4,5,1
"51",4,5,1
"52",4,5,1
"53",4,4,1
"54",5,5,1
"55",4,4,1
"56",5,5,1
"57",3,5,0
"58",5,5,0
"59",3,4,0
"60",3,4,0
"61",4,5,0
"62",3,4,0
"63",3,4,0
"64",3,5,0
"65",3,5,0
"66",4,4,0
"67",4,5,1
"68",4,4,1
"69",2,3,1
"70",5,5,1
"71",4,5,1
"72",4,5,1
"73",4,5,1
"74",3,3,0
"75",1,4,0
"76",3,4,0
"77",2,4,0
"78",4,5,0
"79",2,4,0
"80",3,5,0
"81",3,4,0
"82",2,4,0
"83",4,4,0
"84",3,4,1
"85",5,4,1
"86",4,5,1
"87",4,5,1
"88",2,4,1
"89",2,3,0
"90",2,3,1
"91",4,4,1
"92",4,5,1
"93",3,4,1
"94",2,4,1
"95",3,4,0
"96",4,5,0
"97",3,4,1
"98",2,5,0
"99",2,4,0
"100",2,3,1
"101",2,4,1
"102",4,5,1
"103",4,5,1
"104",1,4,0
"105",3,3,1
"106",5,5,0
"107",3,5,0
"108",2,4,1
"109",4,5,1
"110",2,5,1
"111",3,4,0
"112",4,5,1
"113",3,5,0
"115",2,5,1
"116",3,5,0
"117",4,3,0
"118",3,5,1
"119",3,4,1
"120",3,5,1
"121",4,5,1
"122",3,4,0
"123",4,4,0
"124",5,5,0
"125",3,4,0
"126",3,5,1
"127",3,4,1
"128",4,3,1
"129",4,4,1
"130",4,3,1
"131",4,5,1
"132",4,5,0
"133",2,5,0
"134",2,3,0
"135",2,3,0
"136",3,3,0
"137",4,4,1
"138",3,5,1
"139",3,5,0
"140",2,2,0
"141",3,5,0
"142",3,4,0
"143",3,4,0
"144",3,4,0
"145",2,5,0
"146",4,5,0
"147",4,4,0
"148",2,3,0
"149",3,5,0
"150",3,4,0
"151",3,3,0
"152",3,1,0
"153",3,5,0
"154",4,5,1
"155",4,5,1
"156",2,4,1
"157",3,5,1
"158",5,5,1
"159",3,4,1
"160",5,5,1
"161",4,5,1
"162",3,4,1
"163",5,5,1
"164",4,5,1
"165",4,5,0
"166",4,5,0
"167",3,4,0
"168",1,3,0
"169",4,4,0
"170",4,5,0
"171",4,5,0
"172",5,4,0
"173",4,5,0
"174",4,5,0
"175",4,3,0
"176",3,5,1
"177",5,5,1
"178",3,3,1
"179",3,4,1
"180",3,5,1
"181",4,5,1
"182",3,4,1
"183",4,4,1
"184",5,5,1
"185",5,5,1
"186",3,4,0
"187",4,5,0
"188",3,4,0
"189",2,4,0
"190",3,4,0
"191",3,5,0
"192",4,4,0
"193",4,5,0
"194",3,3,1
"195",4,5,1
"196",4,2,1
"197",3,4,1
"198",4,4,1
"199",4,5,1
"200",4,4,1
"201",5,5,1
"202",4,5,1
"203",2,3,1
"204",3,5,0
"205",3,4,0
"206",2,5,0
"207",2,4,0
"208",5,5,0
"209",2,4,0
"210",1,4,0
"211",4,4,0
"212",4,5,0
"213",1,3,0
"214",2,4,1
"215",3,3,1
"216",3,5,1
"217",4,5,1
"218",2,5,1
"219",3,5,1
"220",5,5,1
"221",4,5,0
"222",3,5,0
"223",3,5,0
"224",2,3,0
"225",2,5,0
"226",3,5,0
"227",3,4,0
"228",2,5,0
"229",4,5,1
"230",4,5,1
"231",5,4,1
"232",4,5,1
"233",3,5,1
"234",1,4,1
"235",3,5,1
"236",2,4,1
"237",4,5,1
"238",2,4,1
"239",4,5,1
"240",4,4,0
"241",4,4,0
"242",3,4,0
"243",3,3,0
"244",3,5,0
"245",5,5,1
"246",4,5,1
"247",4,5,1
"248",4,5,1
"249",3,5,1
"250",3,3,1
"251",3,5,1
"252",3,4,0
"253",2,5,0
"254",3,5,0
"255",2,4,0
"256",3,4,0
"257",4,5,0
"258",2,3,0
"259",2,5,0
"260",4,4,1
"261",3,5,1
"262",3,4,1
"263",3,5,1
"264",2,4,1
"265",3,5,1
"266",4,4,1
"267",2,4,1
"268",1,3,0
"269",3,4,0
"270",3,4,0
"271",4,5,0
"272",3,5,0
"273",2,5,0
"274",3,3,0
"275",2,3,0
"276",4,5,0
"277",4,5,0
"278",3,4,0
"279",5,5,0
"280",3,4,1
"281",4,3,1
"282",5,4,1
"283",3,5,1
"284",2,4,1
"285",4,4,1
"286",5,4,1
"287",2,4,1
"288",4,5,1
"289",3,5,1
"290",2,4,1
"291",3,5,0
"292",4,4,0
"293",3,4,0
"294",4,4,0
"295",2,4,0
"296",2,4,0
"297",2,5,0
"298",2,5,0
"299",3,3,0
"300",2,5,0
"301",2,3,1
"302",3,4,1
"303",4,4,1
"304",2,3,1
"305",2,3,1
"306",2,5,1
"307",4,4,1
"308",4,4,1
"309",2,5,1
"310",4,4,0
"311",3,4,0
"312",2,4,0
"313",3,4,0
"314",2,4,0
"315",3,4,0
"316",4,5,1
"317",2,4,1
"318",3,5,1
"319",3,5,1
"320",4,5,1
"321",5,5,1
"322",4,3,1
"323",4,4,1
"324",4,5,1
"325",3,4,1
"326",4,4,1
"327",5,4,0
"328",2,4,0
"329",4,5,0
"330",4,5,0
"331",3,4,0
"332",4,5,0
"333",2,5,0
"334",4,5,0
"335",4,5,1
"336",5,5,1
"337",4,2,1
"338",5,5,1
"339",4,5,1
"340",2,3,1
"341",3,5,1
"342",5,5,1
"343",2,3,0
"344",3,4,0
"345",2,5,0
"346",1,3,0
"347",4,5,0
"348",4,4,0
"349",3,5,0
"350",3,5,1
"351",4,5,1
"352",5,5,1
"353",3,4,1
"354",4,5,1
"355",3,5,1
"356",2,4,1
"357",4,5,1
"358",3,5,1
"359",2,2,0
"360",4,5,1
"361",3,3,0
"362",3,3,1
"363",4,4,0
"364",3,4,0
"365",3,4,1
"366",3,5,0
"367",3,3,1
"368",4,5,1
"369",3,5,0
"370",2,3,0
"371",3,5,1
"372",2,4,1
"373",3,4,0
"374",3,5,0
"375",5,5,1
"376",4,5,0
"377",4,4,1
"378",4,5,1
"379",4,4,0
"380",3,4,0
"381",4,4,1
"382",2,4,0
"383",4,5,0
"384",4,5,1
"385",2,3,0
"386",4,5,1
"387",5,5,1
"388",4,5,1
"389",5,4,1
"390",4,4,0
"391",4,5,0
"392",3,4,0
"393",4,3,0
"394",4,5,1
"395",3,4,1
"396",1,4,0
"397",3,4,0
"398",2,5,0
"399",3,4,1
"400",3,5,0
"401",2,3,0
"402",3,4,0
"403",5,5,1
"404",4,5,1
"405",4,4,1
"406",1,4,1
"407",4,4,0
"408",5,5,1
"409",3,4,0
"410",3,5,1
"411",5,5,0
"412",3,4,0
"413",4,4,0
"414",3,4,0
"415",4,4,0
"416",3,4,0
"417",2,3,0
"418",3,4,0
"419",4,5,1
"420",4,4,1
"421",4,5,1
"422",2,4,1
"423",4,4,1
"424",3,4,0
"425",1,1,0
"426",4,3,0
"427",5,4,0
"428",3,3,0
"429",2,5,0
"430",5,5,1
"431",4,4,1
"432",4,4,1
"433",4,5,0
"434",2,5,0
"435",4,5,0
"436",5,4,0
"438",4,5,0
"439",3,4,0
"441",4,5,1
"442",3,5,1
"443",4,5,1
"444",4,5,1
"445",3,5,1
"446",2,4,1
"447",4,5,1
"448",4,5,1
"449",3,4,1
"450",4,5,1
"451",5,5,1
"452",4,5,1
"453",3,5,1
"454",3,4,1
"455",3,5,1
"456",5,5,1
"457",2,5,1
"458",3,4,1
"459",4,4,1
"460",5,5,1
"461",4,5,0
"462",4,4,0
"463",4,5,0
"464",3,5,0
"465",2,4,0
"466",3,3,0
"467",3,5,0
"468",4,5,0
"469",3,4,0
"470",3,4,0
"471",4,5,1
"472",4,3,1
"473",4,5,1
"474",3,5,1
"475",4,4,1
"476",4,5,1
"477",5,5,1
"478",3,2,1
"479",3,3,1
"480",3,4,1
"481",4,5,0
"482",3,5,0
"483",3,4,0
"484",4,5,0
"485",5,4,0
"486",3,5,0
"487",4,5,0
"488",4,5,0
"489",4,4,0
"490",3,4,0
"491",4,5,1
"492",4,5,1
"493",5,4,0
"494",3,3,0
"495",4,5,0
"496",3,3,0
"497",4,5,1
"498",3,5,1
"499",4,5,1
"500",3,5,1
"501",5,5,1
"502",4,5,1
"503",3,3,0
"504",3,4,0
"505",2,5,0
"506",4,4,1
"507",3,4,1
"508",4,5,1
"509",2,5,0
"510",4,5,1
"511",4,5,1
"512",3,4,0
"513",3,4,0
"514",3,5,0
"515",2,4,0
"516",4,4,0
"517",4,5,0
"518",1,1,1
"519",3,5,0
"520",3,4,1
"521",3,3,1
"522",1,2,0
"523",5,5,1
"524",5,5,1
"525",3,4,1
"526",4,5,1
"527",2,4,0
"528",4,5,0
"529",4,4,1
"530",4,5,1
"531",3,4,0
"532",2,1,0
"533",3,4,0
"534",4,3,1
"535",2,5,1
"536",3,5,1
"537",1,3,0
"538",3,4,0
"539",4,5,1
"540",4,4,1
"541",3,4,1
"542",4,4,1
"543",3,4,1
"544",4,5,0
"545",3,4,1
"546",4,4,0
"547",5,5,1
"548",4,5,0
"549",2,2,0
"550",4,5,0
"551",3,4,0
"552",3,4,0
"553",4,5,0
"554",3,5,0
"555",3,5,0
"556",4,5,0
"557",3,4,1
"558",4,4,1
"559",5,5,1
"560",3,5,1
"561",3,4,1
"562",5,4,1
"563",4,5,1
"564",3,4,1
"565",5,5,1
"566",2,3,1
"567",3,4,0
"568",3,3,0
"569",3,4,0
"570",3,5,0
"571",4,5,0
"572",2,4,0
"573",4,4,0
"574",4,5,0
"575",4,5,0
"576",2,3,0
"577",4,4,1
"578",5,5,1
"579",4,5,1
"580",4,4,1
"581",3,3,1
"582",4,4,1
"583",5,5,1
"584",1,5,1
"585",4,5,1
"586",4,4,1
"587",3,4,1
"588",2,4,0
"589",4,5,0
"590",2,4,0
"591",4,5,0
"592",2,4,0
"593",3,3,0
"594",4,3,0
"595",3,5,0
"596",5,5,0
"597",2,4,0
"598",4,4,0
"599",2,5,1
"600",5,5,1
"601",3,4,1
"602",4,5,1
"603",5,5,1
"604",5,5,1
"605",4,5,1
"606",4,5,1
"607",4,4,1
"608",3,4,1
"609",3,5,0
"610",4,4,0
"611",3,4,0
"612",3,5,0
"613",4,3,0
"614",4,4,0
"615",5,5,0
"616",2,3,0
"617",4,5,1
"618",4,5,1
"619",3,5,1
"620",4,5,1
"621",1,4,1
"622",3,5,0
"623",2,5,0
"624",3,3,0
"625",3,5,0
"626",3,5,0
"627",3,3,0
"628",3,4,0
"629",4,5,0
"630",3,5,0
"631",3,5,1
"632",4,5,1
"633",3,5,1
"634",4,5,1
"635",4,4,1
"636",3,4,1
"637",4,4,0
"638",4,5,0
"639",3,5,0
"640",3,4,0
"641",2,4,0
"642",3,5,0
"643",4,4,0
"644",5,5,0
"645",5,4,0
"646",3,4,0
"647",3,5,1
"648",4,4,1
"649",5,5,1
"650",5,5,1
"651",5,5,1
"652",4,4,1
"653",4,5,1
"654",3,4,1
"655",4,4,0
"656",3,3,0
"657",4,4,0
"658",4,5,0
"659",2,3,0
"660",2,4,0
"661",3,5,0
"662",4,5,0
"663",3,4,0
"664",4,5,0
"665",3,4,1
"666",4,5,1
"667",4,4,1
"668",4,5,1
"669",5,5,1
"670",4,4,1
"671",3,4,1
"673",3,5,0
"674",5,5,0
"675",4,5,0
"676",3,4,0
"677",4,4,0
"678",2,1,0
"679",4,5,0
"680",4,4,0
"681",4,5,1
"682",4,3,1
"683",4,5,1
"684",3,5,1
"685",3,4,1
"686",4,5,1
"687",3,5,1
"688",4,5,0
"689",4,3,0
"690",3,3,0
"691",4,5,0
"692",2,3,0
"694",3,5,1
"695",5,4,1
"696",5,5,1
"697",5,5,1
"698",3,5,1
"699",3,4,1
"700",5,5,1
"701",2,3,1
"702",4,4,1
"703",2,5,0
"704",2,4,0
"705",3,5,0
"706",2,3,0
"707",4,5,0
"708",3,5,0
"709",3,5,1
"710",4,5,1
"711",3,5,1
"712",4,5,1
"713",5,5,1
"714",2,4,1
"715",3,5,1
"716",3,5,0
"717",3,3,0
"718",2,3,0
"719",4,5,0
"720",4,4,0
"721",4,5,0
"722",3,5,0
"723",3,4,0
"724",3,4,1
"725",4,5,1
"726",5,5,1
"727",2,5,1
"728",4,5,1
"729",5,4,1
"730",3,5,1
"731",2,4,0
"732",2,5,1
"733",3,5,0
"734",2,5,0
"735",4,5,1
"736",2,1,0
"737",4,5,0
"738",3,5,1
"739",4,5,1
"740",2,5,0
"741",5,5,0
"742",5,5,1
"743",3,5,1
"744",4,5,1
"745",3,5,0
"746",2,4,0
"747",1,4,0
"748",3,5,0
"749",2,4,0
"750",2,5,0
"751",4,5,1
"752",1,2,0
"753",2,4,0
"754",4,4,1
"756",2,4,1
"757",3,5,0
"758",3,4,0
"759",3,4,0
