"","P","Y","A"
"1",4,5,2
"2",3,3,2
"3",3,3,2
"4",3,5,1
"5",4,5,2
"6",4,5,1
"7",3,4,2
"8",4,5,2
"9",2,5,1
"10",4,5,2
"11",3,4,2
"12",5,5,2
"14",3,5,1
"15",2,4,1
"16",3,5,2
"17",3,5,2
"18",4,5,2
"19",3,4,2
"20",4,5,1
"21",4,4,2
"22",3,4,1
"23",2,5,1
"24",5,5,1
"25",4,5,2
"26",2,4,2
"27",2,3,2
"28",3,5,2
"29",2,5,1
"30",4,5,2
"31",4,5,2
"32",2,5,2
"33",5,5,2
"34",3,3,2
"35",3,5,2
"36",5,5,2
"37",3,4,2
"38",3,5,1
"39",2,3,1
"40",4,5,1
"41",3,4,1
"42",4,5,1
"43",2,3,1
"44",4,5,1
"45",4,5,1
"46",3,5,1
"47",5,5,1
"48",4,5,1
"49",4,5,1
"50",2,3,1
"51",5,5,1
"52",5,5,2
"53",4,5,2
"54",5,5,2
"55",5,5,2
"56",5,5,2
"57",4,4,2
"58",4,4,2
"59",2,3,2
"60",5,5,1
"61",5,5,1
"62",5,5,1
"63",4,5,1
"64",4,5,1
"65",5,5,1
"66",3,5,1
"67",2,4,1
"68",4,5,1
"70",4,5,1
"71",4,5,1
"72",4,5,2
"73",3,4,2
"74",4,5,2
"75",2,3,2
"76",3,5,2
"77",5,4,2
"78",4,5,2
"79",5,5,2
"80",5,5,2
"81",2,3,1
"82",5,5,1
"83",3,4,1
"84",5,4,1
"85",3,4,1
"86",4,5,1
"87",4,5,1
"88",3,3,1
"89",4,5,1
"90",3,4,1
"91",4,5,1
"92",2,3,2
"93",4,5,2
"94",5,5,2
"95",3,4,1
"96",1,2,1
"97",5,5,2
"98",5,5,1
"99",3,5,1
"100",1,2,2
"101",2,3,1
"102",2,3,2
"103",4,3,2
"104",4,5,2
"105",2,4,2
"106",5,5,1
"107",2,3,2
"108",3,4,1
"109",4,5,1
"110",4,5,2
"111",1,4,1
"112",2,3,1
"113",3,5,2
"114",2,5,2
"115",4,5,2
"116",4,5,2
"117",5,4,1
"118",2,2,2
"119",4,5,1
"120",3,3,1
"121",2,3,2
"122",3,5,2
"123",2,1,2
"124",5,5,1
"125",4,5,2
"126",2,3,1
"127",2,1,1
"128",2,2,2
"129",3,4,1
"130",2,3,1
"131",2,4,1
"132",4,5,2
"133",3,5,2
"134",5,4,2
"135",4,5,2
"136",3,3,2
"137",5,5,2
"138",5,5,2
"139",4,5,1
"140",4,5,1
"141",5,5,1
"142",3,4,1
"143",3,4,1
"144",5,5,1
"145",3,4,1
"146",5,5,1
"147",3,3,1
"148",4,5,2
"149",2,3,2
"150",2,3,2
"151",5,3,2
"152",3,4,2
"154",4,5,2
"155",3,4,2
"156",4,5,2
"157",5,5,1
"158",5,5,1
"159",5,5,1
"160",4,5,1
"161",4,3,1
"162",1,5,1
"163",4,4,1
"164",5,5,2
"165",4,4,2
"166",4,5,2
"167",4,2,2
"168",4,4,2
"169",5,5,1
"170",5,5,1
"171",3,5,1
"172",4,4,1
