"","P","Y","A","G"
"1",3,4,2,1
"2",3,4,2,1
"3",3,4,2,1
"4",3,4,1,1
"5",5,5,2,0
"6",4,5,1,1
"7",4,5,2,1
"8",4,5,2,1
"9",3,5,1,2
"10",3,5,2,2
"11",4,4,2,0
"12",4,5,2,1
"13",4,4,1,0
"14",4,4,1,0
"15",3,3,1,0
"16",2,2,2,0
"17",2,4,2,2
"18",4,4,2,0
"19",2,3,2,1
"20",5,5,1,0
"21",3,4,2,1
"22",2,4,1,2
"23",3,4,1,1
"24",5,5,1,0
"25",5,5,2,0
"26",2,3,2,1
"27",2,2,2,0
"28",2,5,1,3
"29",3,3,2,0
"30",4,5,2,1
"31",2,5,2,3
"32",5,5,2,0
"33",3,3,2,0
"34",4,5,2,1
"35",5,5,2,0
"36",2,3,2,1
"37",4,5,1,1
"38",2,4,1,2
"39",4,4,1,0
"40",4,4,1,0
"41",2,3,1,1
"42",2,4,1,2
"43",3,5,1,2
"44",3,3,1,0
"45",3,5,1,2
"46",4,5,1,1
"47",1,5,1,4
"48",2,4,1,2
"49",2,5,1,3
"50",4,5,2,1
"51",4,5,2,1
"52",5,5,2,0
"53",5,5,2,0
"54",5,5,2,0
"55",2,4,2,2
"56",5,4,2,-1
"57",5,5,1,0
"58",5,5,1,0
"59",3,4,1,1
"60",3,5,1,2
"61",5,5,1,0
"62",3,4,1,1
"63",2,3,1,1
"64",4,5,1,1
"65",3,5,1,2
"66",4,5,1,1
"67",5,5,2,0
"68",4,5,2,1
"69",2,3,2,1
"70",4,5,2,1
"71",5,5,2,0
"72",4,5,2,1
"73",5,5,2,0
"74",2,1,1,-1
"75",2,4,1,2
"76",3,4,1,1
"77",2,4,1,2
"78",2,5,1,3
"79",2,5,1,3
"80",2,4,1,2
"81",4,5,1,1
"82",2,4,1,2
"83",5,5,1,0
"84",2,2,2,0
"85",5,5,2,0
"86",4,5,2,1
"87",4,4,2,0
"88",3,2,2,-1
"89",2,3,1,1
"90",2,3,2,1
"91",5,5,2,0
"92",5,5,2,0
"93",2,4,2,2
"94",2,4,2,2
"95",3,4,1,1
"96",4,5,1,1
"97",3,5,2,2
"98",2,4,1,2
"99",2,4,1,2
"100",3,4,2,1
"101",4,5,2,1
"102",4,5,2,1
"103",4,5,2,1
"104",2,3,1,1
"105",2,3,2,1
"106",5,5,1,0
"107",2,2,1,0
"108",2,4,2,2
"109",4,5,2,1
"110",2,1,2,-1
"111",2,4,1,2
"112",2,5,2,3
"113",2,3,1,1
"115",1,3,2,2
"116",4,5,1,1
"117",2,3,1,1
"118",3,4,2,1
"119",3,3,2,0
"120",3,4,2,1
"121",5,5,2,0
"122",3,5,1,2
"123",4,4,1,0
"124",5,5,1,0
"125",5,5,1,0
"126",5,5,2,0
"127",3,2,2,-1
"128",4,4,2,0
"129",3,4,2,1
"130",4,4,2,0
"131",3,4,2,1
"132",5,5,1,0
"133",3,5,1,2
"134",2,2,1,0
"135",3,4,1,1
"136",3,3,1,0
"137",3,4,2,1
"138",3,4,2,1
"139",4,5,1,1
"140",3,2,1,-1
"141",3,2,1,-1
"142",4,4,1,0
"143",2,3,1,1
"144",3,4,1,1
"145",2,5,1,3
"146",5,5,1,0
"147",4,3,1,-1
"148",2,5,1,3
"149",2,5,1,3
"150",2,2,1,0
"151",3,3,1,0
"152",3,1,1,-2
"153",4,4,1,0
"154",5,5,2,0
"155",3,5,2,2
"156",2,1,2,-1
"157",4,5,2,1
"158",5,5,2,0
"159",4,5,2,1
"160",5,5,2,0
"161",4,5,2,1
"162",2,3,2,1
"163",5,5,2,0
"164",3,5,2,2
"165",4,5,1,1
"166",3,5,1,2
"167",4,4,1,0
"168",2,3,1,1
"169",5,3,1,-2
"170",5,5,1,0
"171",5,4,1,-1
"172",5,5,1,0
"173",4,5,1,1
"174",5,5,1,0
"175",4,3,1,-1
"176",5,5,2,0
"177",5,5,2,0
"178",3,3,2,0
"179",2,4,2,2
"180",3,5,2,2
"181",4,5,2,1
"182",4,4,2,0
"183",4,4,2,0
"184",5,5,2,0
"185",4,5,2,1
"186",3,4,1,1
"187",5,5,1,0
"188",4,3,1,-1
"189",3,5,1,2
"190",3,4,1,1
"191",4,5,1,1
"192",5,4,1,-1
"193",4,5,1,1
"194",3,3,2,0
"195",4,5,2,1
"196",5,4,2,-1
"197",4,4,2,0
"198",4,4,2,0
"199",5,5,2,0
"200",4,5,2,1
"201",5,5,2,0
"202",4,5,2,1
"203",2,3,2,1
"204",2,4,1,2
"205",4,3,1,-1
"206",3,5,1,2
"207",3,4,1,1
"208",5,5,1,0
"209",3,5,1,2
"210",2,5,1,3
"211",4,5,1,1
"212",4,5,1,1
"213",2,5,1,3
"214",2,4,2,2
"215",3,5,2,2
"216",4,5,2,1
"217",4,5,2,1
"218",3,4,2,1
"219",5,4,2,-1
"220",4,5,2,1
"221",5,5,1,0
"222",4,4,1,0
"223",3,5,1,2
"224",2,2,1,0
"225",5,5,1,0
"226",3,5,1,2
"227",5,5,1,0
"228",2,4,1,2
"229",3,4,2,1
"230",5,5,2,0
"231",5,5,2,0
"232",3,4,2,1
"233",1,2,2,1
"234",3,5,2,2
"235",2,3,2,1
"236",3,5,2,2
"237",4,4,2,0
"238",1,2,2,1
"239",5,4,2,-1
"240",5,5,1,0
"241",2,4,1,2
"242",3,4,1,1
"243",3,2,1,-1
"244",3,5,1,2
"245",4,5,2,1
"246",2,3,2,1
"247",5,5,2,0
"248",3,5,2,2
"249",2,4,2,2
"250",5,4,2,-1
"251",3,4,2,1
"252",5,5,1,0
"253",4,5,1,1
"254",2,5,1,3
"255",1,3,1,2
"256",4,5,1,1
"257",3,5,1,2
"258",3,3,1,0
"259",2,5,1,3
"260",1,3,2,2
"261",3,5,2,2
"262",2,4,2,2
"263",3,5,2,2
"264",2,4,2,2
